u_group,U_code,U_description,icd_code,ICD_description
1,U781,Obesity,E6693,"Obesity, not elsewhere classified, body mass index [BMI] >= 40 kg/m2"
1,U781,Obesity,E6692,"Obesity, not elsewhere classified, body mass index [BMI] >= 35 kg/m2 to <= 39.99 kg/m2"
1,U781,Obesity,E6691,"Obesity, not elsewhere classified, body mass index [BMI] >= 30 kg/m2 to <= 34.99 kg/m2"
1,U781,Obesity,E6690,"Obesity, not elsewhere classified, body mass index [BMI] not elsewhere classified"
2,U782,Cystic fibrosis,E84,Cystic fibrosis
3,U791,Dementia (including in Alzheimer's disease),F010,Vascular dementia of acute onset
3,U791,Dementia (including in Alzheimer's disease),F018,Other vascular dementia
3,U791,Dementia (including in Alzheimer's disease),F020,Dementia in Pick's disease (G31.0+)
3,U791,Dementia (including in Alzheimer's disease),F019,"Vascular dementia, unspecified"
3,U791,Dementia (including in Alzheimer's disease),F002,"Dementia in Alzheimer's disease, atypical or mixed type (G30.8+)"
3,U791,Dementia (including in Alzheimer's disease),F013,Mixed cortical and subcortical vascular dementia
3,U791,Dementia (including in Alzheimer's disease),F011,Multi-infarct dementia
3,U791,Dementia (including in Alzheimer's disease),F024,Dementia in human immunodeficiency virus [HIV] disease (B22+)
3,U791,Dementia (including in Alzheimer's disease),F000,Dementia in Alzheimer's disease with early onset (G30.0+)
3,U791,Dementia (including in Alzheimer's disease),F001,Dementia in Alzheimer's disease with late onset (G30.1+)
3,U791,Dementia (including in Alzheimer's disease),F012,Subcortical vascular dementia
3,U791,Dementia (including in Alzheimer's disease),F009,"Dementia in Alzheimer's disease, unspecified (G30.9+)"
3,U791,Dementia (including in Alzheimer's disease),F023,Dementia in Parkinson's disease (G20+)
3,U791,Dementia (including in Alzheimer's disease),F022,Dementia in Huntington's disease (G10+)
3,U791,Dementia (including in Alzheimer's disease),F03,Unspecified dementia
3,U791,Dementia (including in Alzheimer's disease),F028,Dementia in other specified diseases classified elsewhere
3,U791,Dementia (including in Alzheimer's disease),F021,Dementia in Creutzfeldt-Jakob disease (A81.0+)
4,U792,Schizophrenia,F208,Other schizophrenia
4,U792,Schizophrenia,F200,Paranoid schizophrenia
4,U792,Schizophrenia,F206,Simple schizophrenia
4,U792,Schizophrenia,F205,Residual schizophrenia
4,U792,Schizophrenia,F209,"Schizophrenia, unspecified"
4,U792,Schizophrenia,F201,Hebephrenic schizophrenia
4,U792,Schizophrenia,F203,Undifferentiated schizophrenia
4,U792,Schizophrenia,F202,Catatonic schizophrenia
4,U792,Schizophrenia,F204,Post-schizophrenic depression
5,U793,Depression,F3291,"Depressive episode, unspecified, arising in the postnatal period"
5,U793,Depression,F338,Other recurrent depressive disorders
5,U793,Depression,F334,"Recurrent depressive disorder, currently in remission"
5,U793,Depression,F3280,"Other depressive episodes, not specified as arising in the postnatal period"
5,U793,Depression,F3281,"Other depressive episodes, arising in the postnatal period"
5,U793,Depression,F3290,"Depressive episode, unspecified, not specified as arising in the postnatal period"
5,U793,Depression,F3210,"Moderate depressive episode, not specified as arising in the postnatal period"
5,U793,Depression,F3230,"Severe depressive episode with psychotic symptoms, not specified as arising in the postnatal period"
5,U793,Depression,F3221,"Severe depressive episode without psychotic symptoms, arising in the postnatal period"
5,U793,Depression,F3220,"Severe depressive episode without psychotic symptoms, not specified as arising in the postnatal period"
5,U793,Depression,F339,"Recurrent depressive disorder, unspecified"
5,U793,Depression,F3231,"Severe depressive episode with psychotic symptoms, arising in the postnatal period"
5,U793,Depression,F3211,"Moderate depressive episode, arising in the postnatal period"
5,U793,Depression,F3200,"Mild depressive episode, not specified as arising in the postnatal period"
5,U793,Depression,F3201,"Mild depressive episode, arising in the postnatal period"
6,U794,Disorder of intellectual development,F731,"Profound mental retardation, significant impairment of behaviour requiring attention or treatment"
6,U794,Disorder of intellectual development,F730,"Profound mental retardation with the statement of no, or minimal, impairment of behaviour"
6,U794,Disorder of intellectual development,F721,"Severe mental retardation, significant impairment of behaviour requiring attention or treatment"
6,U794,Disorder of intellectual development,F720,"Severe mental retardation with the statement of no, or minimal, impairment of behaviour"
6,U794,Disorder of intellectual development,F729,Severe mental retardation without mention of impairment of behaviour
6,U794,Disorder of intellectual development,F738,"Profound mental retardation, other impairments of behaviour"
6,U794,Disorder of intellectual development,F718,"Moderate mental retardation, other impairments of behaviour"
6,U794,Disorder of intellectual development,F728,"Severe mental retardation, other impairments of behaviour"
6,U794,Disorder of intellectual development,F739,Profound mental retardation without mention of impairment of behaviour
6,U794,Disorder of intellectual development,F711,"Moderate mental retardation, significant impairment of behaviour requiring attention or treatment"
6,U794,Disorder of intellectual development,F710,"Moderate mental retardation with the statement of no, or minimal, impairment of behaviour"
6,U794,Disorder of intellectual development,F780,"Other mental retardation with the statement of no, or minimal, impairment of behaviour"
6,U794,Disorder of intellectual development,F708,"Mild mental retardation, other impairments of behaviour"
6,U794,Disorder of intellectual development,F701,"Mild mental retardation, significant impairment of behaviour requiring attention or treatment"
6,U794,Disorder of intellectual development,F700,"Mild mental retardation with the statement of no, or minimal, impairment of behaviour"
6,U794,Disorder of intellectual development,F719,Moderate mental retardation without mention of impairment of behaviour
6,U794,Disorder of intellectual development,F709,Mild mental retardation without mention of impairment of behaviour
6,U794,Disorder of intellectual development,F799,Unspecified mental retardation without mention of impairment of behaviour
6,U794,Disorder of intellectual development,F798,"Unspecified mental retardation, other impairments of behaviour"
6,U794,Disorder of intellectual development,F791,"Unspecified mental retardation, significant impairment of behaviour requiring attention or treatment"
6,U794,Disorder of intellectual development,F790,"Unspecified mental retardation with the statement of no, or minimal, impairment of behaviour"
6,U794,Disorder of intellectual development,F789,Other mental retardation without mention of impairment of behaviour
6,U794,Disorder of intellectual development,F788,"Other mental retardation, other impairments of behaviour"
6,U794,Disorder of intellectual development,F781,"Other mental retardation, significant impairment of behaviour requiring attention or treatment"
7,U801,Parkinson's disease,G20,Parkinson's disease
8,U802,Multiple sclerosis,G35,Multiple sclerosis
9,U803,Epilepsy,G4091,"Epilepsy, unspecified, with intractable epilepsy"
9,U803,Epilepsy,G4081,"Other epilepsy, with intractable epilepsy"
9,U803,Epilepsy,G4080,"Other epilepsy, without mention of intractable epilepsy"
9,U803,Epilepsy,G4071,"Petit mal, unspecified, without grand mal seizures, with intractable epilepsy"
9,U803,Epilepsy,G4061,"Grand mal seizures, unspecified (with or without petit mal), with intractable epilepsy"
9,U803,Epilepsy,G4060,"Grand mal seizures, unspecified (with or without petit mal), without mention of intractable epilepsy"
9,U803,Epilepsy,G4051,"Special epileptic syndromes, with intractable epilepsy"
9,U803,Epilepsy,G4041,"Other generalised epilepsy and epileptic syndromes, with intractable epilepsy"
9,U803,Epilepsy,G4040,"Other generalised epilepsy and epileptic syndromes, without mention of intractable epilepsy"
9,U803,Epilepsy,G4050,"Special epileptic syndromes, without mention of intractable epilepsy"
9,U803,Epilepsy,G4031,"Generalised idiopathic epilepsy and epileptic syndromes, with intractable epilepsy"
9,U803,Epilepsy,G4070,"Petit mal, unspecified, without grand mal seizures, without mention of intractable epilepsy"
9,U803,Epilepsy,G4090,"Epilepsy, unspecified, without mention of intractable epilepsy"
9,U803,Epilepsy,G4030,"Generalised idiopathic epilepsy and epileptic syndromes, without mention of intractable epilepsy"
9,U803,Epilepsy,G4021,"Localisation-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, with intractable epilepsy"
9,U803,Epilepsy,G4020,"Localisation-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy"
9,U803,Epilepsy,G4011,"Localisation-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, with intractable epilepsy"
9,U803,Epilepsy,G4010,"Localisation-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy"
9,U803,Epilepsy,G4001,"Localisation-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localised onset, with intractable epilepsy"
9,U803,Epilepsy,G4000,"Localisation-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localised onset, without mention of intractable epilepsy"
10,U804,Cerebral palsy,G8009,Other spastic cerebral palsy
10,U804,Cerebral palsy,G8003,Spastic quadriplegic cerebral palsy
10,U804,Cerebral palsy,G8000,"Spastic cerebral palsy, unspecified"
10,U804,Cerebral palsy,G8001,Spastic diplegic cerebral palsy
10,U804,Cerebral palsy,G8002,Spastic hemiplegic cerebral palsy
10,U804,Cerebral palsy,G809,"Cerebral palsy, unspecified (Palsy/cerebral)"
